	MGI_ID	ENTREZ_ID
0	MGI:96816	16939
1	MGI:104597	21956
2	MGI:107814	545486
3	MGI:87918	11518
4	MGI:95697	14580
5	MGI:107812	22154
6	MGI:96690	16666
7	MGI:87919	11519
8	MGI:87906	11465
9	MGI:1351615	27360
10	MGI:1298216	12970
11	MGI:88524	12967
12	MGI:88522	12965
13	MGI:101770	12075
14	MGI:1333828	107993
15	MGI:1891495	57339
16	MGI:97273	17907
17	MGI:108511	17433
18	MGI:1095411	227720
19	MGI:1926227	59015
20	MGI:96568	226180
21	MGI:1344351	23859
22	MGI:97309	380684
23	MGI:104807	102866
24	MGI:1277955	12217
25	MGI:1098749	238988
26	MGI:1347076	26451
27	MGI:1913743	66493
28	MGI:1915090	67840
29	MGI:98020	19921
30	MGI:109364	16673
31	MGI:96700	16680
32	MGI:1313261	20743
33	MGI:1333772	13801
34	MGI:3608341	238875
35	MGI:1889411	57916
36	MGI:2676832	387165
37	MGI:3619341	723842
38	MGI:1913699	66449
39	MGI:2651552	338438
40	MGI:1916520	69270
41	MGI:107304	19874
42	MGI:2180585	246709
43	MGI:103180	106795
44	MGI:1921344	74094
45	MGI:1858622	53620
46	MGI:1340031	18038
47	MGI:2182965	211550
48	MGI:1929475	65099
49	MGI:98795	21984
50	MGI:2671932	252974
51	MGI:1927241	57750
52	MGI:2685972	382111
53	MGI:2147427	107071
54	MGI:97992	19866
56	MGI:103040	20163
57	MGI:1351490	27261
58	MGI:893587	13448
59	MGI:1929760	56699
60	MGI:1929763	104445
61	MGI:2676849	387180
62	MGI:1924845	77595
63	MGI:1861354	54519
64	MGI:1289160	14012
66	MGI:1328311	17306
67	MGI:103211	102632302
68	MGI:1915760	68510
69	MGI:3619331	723837
70	MGI:2673967	212398
71	MGI:1915003	67753
72	MGI:1855701	53604
73	MGI:1914902	67652
74	MGI:1339710	17882
77	MGI:108118	22127
80	MGI:2385295	233878
81	MGI:1935121	56747
82	MGI:1924183	76933
83	MGI:1921609	74359
84	MGI:1923707	76457
85	MGI:5562755	102465787
86	MGI:3576497	381157
87	MGI:1921657	74407
88	MGI:1891689	59288
89	MGI:2442579	319710
90	MGI:1916686	67900
91	MGI:3575512	246735
92	MGI:107629	269593
93	MGI:107942	13516
96	MGI:1915382	328789
97	MGI:2153816	140476
98	MGI:2388124	229320
99	MGI:2685697	332309
100	MGI:1918673	100502841
101	MGI:1924550	77300
102	MGI:1921612	74362
103	MGI:2442509	245446
104	MGI:2679449	245450
105	MGI:2686021	382543
106	MGI:2444413	330222
107	MGI:2684729	217843
108	MGI:1916115	68865
109	MGI:1923736	76486
110	MGI:1916536	69286
111	MGI:104965	22789
112	MGI:1922177	74927
113	MGI:105949	13184
114	MGI:1914689	67439
115	MGI:104678	17112
116	MGI:1918833	71583
117	MGI:2685874	381546
118	MGI:2686215	384071
119	MGI:1922446	75196
120	MGI:1915802	68552
121	MGI:1333744	14723
123	MGI:2146995	106722
124	MGI:2180307	246694
125	MGI:1096866	12643
126	MGI:1916730	69480
127	MGI:3052332	474332
128	MGI:2685163	207209
129	MGI:1920423	73173
131	MGI:1338023	17540
135	MGI:1346022	23937
138	MGI:3618732	723818
139	MGI:1346523	24051
140	MGI:1921626	74376
141	MGI:2143322	244810
142	MGI:3619450	723919
143	MGI:1888678	57329
144	MGI:1354698	30838
146	MGI:3811407	100316679
147	MGI:2676813	387147
148	MGI:3618709	723815
149	MGI:3619420	723874
150	MGI:5531032	102465224
151	MGI:4950393	100628571
152	MGI:3718567	100124459
153	MGI:4950420	100628625
154	MGI:2676887	387207
155	MGI:3619375	723854
156	MGI:3629656	735264
157	MGI:2684894	195727
158	MGI:1916371	69121
159	MGI:2676278	239611
160	MGI:2443012	319939
162	MGI:1915333	68083
163	MGI:1921321	74071
164	MGI:103177	17528
165	MGI:2446166	218518
166	MGI:2149209	246190
167	MGI:1914211	66961
168	MGI:1333844	20530
170	MGI:1920999	225049
171	MGI:1350932	27057
172	MGI:1920177	72927
173	MGI:1202878	104362
175	MGI:2676804	387144
176	MGI:3629686	735284
177	MGI:3640613	735308
178	MGI:2676858	387189
179	MGI:3837223	100316716
180	MGI:3718562	100124456
181	MGI:2676803	387143
182	MGI:3718559	100124455
183	MGI:3619402	723865
184	MGI:3783376	100316671
185	MGI:3783374	100316804
186	MGI:3811423	100316810
187	MGI:3837020	100316699
