	Mod_ID	Mod_name	Macro_ID
0	md:mmu_M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	1
1	md:mmu_M00002	Glycolysis, core module involving three-carbon compounds	1
2	md:mmu_M00003	Gluconeogenesis, oxaloacetate => fructose-6P	1
3	md:mmu_M00004	Pentose phosphate pathway (Pentose phosphate cycle)	1
4	md:mmu_M00005	PRPP biosynthesis, ribose 5P => PRPP	1
5	md:mmu_M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	1
6	md:mmu_M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	1
7	md:mmu_M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	1
8	md:mmu_M00009	Citrate cycle (TCA cycle, Krebs cycle)	1
9	md:mmu_M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	1
10	md:mmu_M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	1
11	md:mmu_M00012	Glyoxylate cycle	1
12	md:mmu_M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	1
13	md:mmu_M00014	Glucuronate pathway (uronate pathway)	1
14	md:mmu_M00015	Proline biosynthesis, glutamate => proline	5
15	md:mmu_M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	5
16	md:mmu_M00017	Methionine biosynthesis, aspartate => homoserine => methionine	5
17	md:mmu_M00018	Threonine biosynthesis, aspartate => homoserine => threonine	5
18	md:mmu_M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	5
19	md:mmu_M00020	Serine biosynthesis, glycerate-3P => serine	5
20	md:mmu_M00021	Cysteine biosynthesis, serine => cysteine	5
21	md:mmu_M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	5
22	md:mmu_M00023	Tryptophan biosynthesis, chorismate => tryptophan	5
23	md:mmu_M00024	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	5
24	md:mmu_M00025	Tyrosine biosynthesis, chorismate => HPP => tyrosine	5
25	md:mmu_M00026	Histidine biosynthesis, PRPP => histidine	5
26	md:mmu_M00027	GABA (gamma-Aminobutyrate) shunt	5
27	md:mmu_M00028	Ornithine biosynthesis, glutamate => ornithine	5
28	md:mmu_M00029	Urea cycle	5
29	md:mmu_M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	5
30	md:mmu_M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	5
31	md:mmu_M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	5
32	md:mmu_M00033	Ectoine biosynthesis, aspartate => ectoine	5
33	md:mmu_M00034	Methionine salvage pathway	5
34	md:mmu_M00035	Methionine degradation	5
35	md:mmu_M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	5
36	md:mmu_M00037	Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin	5
37	md:mmu_M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	5
38	md:mmu_M00039	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	9
39	md:mmu_M00040	Tyrosine biosynthesis, chorismate => arogenate => tyrosine	5
40	md:mmu_M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	5
41	md:mmu_M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	5
42	md:mmu_M00044	Tyrosine degradation, tyrosine => homogentisate	5
43	md:mmu_M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	5
44	md:mmu_M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	4
45	md:mmu_M00047	Creatine pathway	5
46	md:mmu_M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	4
47	md:mmu_M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	4
48	md:mmu_M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	4
49	md:mmu_M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	4
50	md:mmu_M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	4
51	md:mmu_M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP => dCTP	4
52	md:mmu_M00055	N-glycan precursor biosynthesis	6
53	md:mmu_M00056	O-glycan biosynthesis, mucin type core	6
54	md:mmu_M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	6
55	md:mmu_M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	6
56	md:mmu_M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	6
57	md:mmu_M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	6
58	md:mmu_M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	1
59	md:mmu_M00063	CMP-KDO biosynthesis	6
60	md:mmu_M00064	ADP-L-glycero-D-manno-heptose biosynthesis	6
61	md:mmu_M00065	GPI-anchor biosynthesis, core oligosaccharide	6
62	md:mmu_M00066	Lactosylceramide biosynthesis	3
63	md:mmu_M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	3
64	md:mmu_M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	6
65	md:mmu_M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	6
66	md:mmu_M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	6
